experiment_id,problem_type,timestamp,seed,n_cities,num_vehicles,p_layers,max_iter,momentum_mass,lmbda,exact_cost,exact_route,exact_time_sec,ground_state_energy,solver_name,quantum_cost,quantum_route,quantum_time_sec,approx_ratio,success_probability,evaluations_count
TSP_N4_Layers1_MaxIter=25_20260724_152432,TSP,20260724_152432,42,4,1,1,25,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.887580871582031e-05,24.05,CV-VQE,0.018366053529056563,"[4, 2, 0, 0]",6.261730194091797,1309.4811012039675,1.910333734642153e-05,25
TSP_N4_Layers2_MaxIter=25_20260724_152444,TSP,20260724_152444,42,4,1,2,25,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",5.698204040527344e-05,24.05,CV-VQE,134.1019637060292,"[1, 1, 0, 0]",0.32393932342529297,0.17934114710446045,0.09420607838855419,25
TSP_N4_Layers3_MaxIter=25_20260724_152457,TSP,20260724_152457,42,4,1,3,25,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",5.1975250244140625e-05,24.05,CV-VQE,131.05150479722454,"[1, 2, 0, 0]",0.43264174461364746,0.18351563407999372,0.098388984951358,25
TSP_N4_Layers4_MaxIter=25_20260724_152509,TSP,20260724_152509,42,4,1,4,25,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.552436828613281e-05,24.05,CV-VQE,130.2691302835811,"[1, 2, 0, 0]",0.5424926280975342,0.18461779815099622,0.09789204012277691,25
TSP_N4_Layers5_MaxIter=25_20260724_152521,TSP,20260724_152521,42,4,1,5,25,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.4345855712890625e-05,24.05,CV-VQE,130.32861961059518,"[0, 2, 0, 0]",0.6598625183105469,0.18453352818328198,0.0983243524859104,25
TSP_N4_Layers1_MaxIter=50_20260724_152533,TSP,20260724_152533,42,4,1,1,50,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.504753112792969e-05,24.05,CV-VQE,1.1482223413563576e-17,"[4, 4, 0, 0]",0.33052825927734375,2.0945420702745185e+18,3.259077492573587e-20,50
TSP_N4_Layers2_MaxIter=50_20260724_152552,TSP,20260724_152552,42,4,1,2,50,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.5299530029296875e-05,24.05,CV-VQE,0.0217581650183427,"[4, 0, 0, 1]",0.5576200485229492,1105.3321812627685,1.133874972380481e-05,50
TSP_N4_Layers3_MaxIter=50_20260724_152610,TSP,20260724_152610,42,4,1,3,50,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.4809112548828125e-05,24.05,CV-VQE,1.4756114121456672,"[0, 2, 3, 0]",0.7751855850219727,16.298328816140838,0.0003610354948750458,50
TSP_N4_Layers4_MaxIter=50_20260724_152629,TSP,20260724_152629,42,4,1,4,50,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.410743713378906e-05,24.05,CV-VQE,5.1588856220551484,"[1, 0, 4, 0]",0.9969358444213867,4.661859510352778,0.002460711316549329,50
TSP_N4_Layers5_MaxIter=50_20260724_152648,TSP,20260724_152648,42,4,1,5,50,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.981590270996094e-05,24.05,CV-VQE,4.723861905721668,"[0, 0, 4, 0]",1.2199697494506836,5.0911733831317125,0.0016916224032806145,50
TSP_N4_Layers1_MaxIter=75_20260724_152707,TSP,20260724_152707,42,4,1,1,75,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.933906555175781e-05,24.05,CV-VQE,9.476842960043833e-56,"[4, 3, 0, 1]",0.32852888107299805,2.5377649604830807e+56,1.0777756267208603e-58,75
TSP_N4_Layers2_MaxIter=75_20260724_152731,TSP,20260724_152731,42,4,1,2,75,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.1484832763671875e-05,24.05,CV-VQE,6.260830664735283e-07,"[0, 0, 1, 0]",0.5323567390441895,38413433.11753165,8.382228562541032e-11,75
TSP_N4_Layers3_MaxIter=75_20260724_152756,TSP,20260724_152756,42,4,1,3,75,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.62396240234375e-05,24.05,CV-VQE,0.1152048140269504,"[1, 1, 3, 2]",0.7076785564422607,208.7586374157409,1.2897551291449462e-05,75
TSP_N4_Layers4_MaxIter=75_20260724_152821,TSP,20260724_152821,42,4,1,4,75,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.8623809814453125e-05,24.05,CV-VQE,0.3427007400324789,"[0, 4, 0, 0]",0.8993363380432129,70.17784670590645,0.0002707157521598366,75
TSP_N4_Layers5_MaxIter=75_20260724_152847,TSP,20260724_152847,42,4,1,5,75,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.029273986816406e-05,24.05,CV-VQE,0.6709566623456854,"[0, 0, 4, 0]",1.0949256420135498,35.844341892247485,0.0004488438505056656,75
TSP_N4_Layers1_MaxIter=100_20260724_152912,TSP,20260724_152912,42,4,1,1,100,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.315376281738281e-05,24.05,CV-VQE,2.517569723945143e-106,"[4, 1, 0, 4]",0.38648009300231934,9.552863529957212e+106,2.416715835026432e-109,100
TSP_N4_Layers2_MaxIter=100_20260724_152943,TSP,20260724_152943,42,4,1,2,100,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.62396240234375e-05,24.05,CV-VQE,5.614922135372262e-20,"[0, 4, 1, 3]",1.2009096145629883,4.283229476770922e+20,4.818947926924277e-24,100
TSP_N4_Layers3_MaxIter=100_20260724_153014,TSP,20260724_153014,42,4,1,3,100,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.4345855712890625e-05,24.05,CV-VQE,7.092341490387311e-05,"[4, 2, 4, 3]",0.9174790382385254,339098.1671228952,6.92471077059051e-09,100
TSP_N4_Layers4_MaxIter=100_20260724_153045,TSP,20260724_153045,42,4,1,4,100,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.743171691894531e-05,24.05,CV-VQE,0.009298351872090724,"[1, 4, 1, 1]",1.181431770324707,2586.4798763087015,1.4568700586656747e-06,100
TSP_N4_Layers5_MaxIter=100_20260724_153117,TSP,20260724_153117,42,4,1,5,100,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.552436828613281e-05,24.05,CV-VQE,0.10989172221435695,"[2, 1, 3, 0]",1.433427095413208,218.85178897358256,1.840223306449333e-05,100
TSP_N4_Layers1_MaxIter=125_20260724_153147,TSP,20260724_153147,42,4,1,1,125,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.506111145019531e-05,24.05,CV-VQE,1.2749732553581412e-176,"[4, 4, 0, 0]",0.47356271743774414,1.886314077485832e+177,9.733434750258935e-180,125
TSP_N4_Layers2_MaxIter=125_20260724_153224,TSP,20260724_153224,42,4,1,2,125,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.4345855712890625e-05,24.05,CV-VQE,3.6556785269587203e-40,"[1, 4, 0, 4]",0.8071582317352295,6.5788060472614885e+40,3.846337811053764e-44,125
TSP_N4_Layers3_MaxIter=125_20260724_153302,TSP,20260724_153302,42,4,1,3,125,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.4809112548828125e-05,24.05,CV-VQE,2.2130322998051996e-07,"[4, 0, 4, 0]",1.136422872543335,108674419.2667996,5.068900928223147e-11,125
TSP_N4_Layers4_MaxIter=125_20260724_153339,TSP,20260724_153339,42,4,1,4,125,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.504753112792969e-05,24.05,CV-VQE,0.00026007484094106386,"[3, 3, 0, 0]",1.4686486721038818,92473.38155808015,1.0391510901558722e-07,125
TSP_N4_Layers5_MaxIter=125_20260724_153417,TSP,20260724_153417,42,4,1,5,125,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.57763671875e-05,24.05,CV-VQE,0.00011630731348635689,"[0, 0, 4, 0]",1.7951250076293945,206779.7740235924,4.464705299151395e-08,125
TSP_N4_Layers1_MaxIter=150_20260724_153454,TSP,20260724_153454,42,4,1,1,150,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.7670135498046875e-05,24.05,CV-VQE,4.622247569050277e-224,"[4, 3, 1, 2]",0.5417742729187012,5.203096467838373e+224,3.217998849064674e-227,150
TSP_N4_Layers2_MaxIter=150_20260724_153537,TSP,20260724_153537,42,4,1,2,150,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.315376281738281e-05,24.05,CV-VQE,7.705604744202981e-64,"[2, 2, 4, 4]",0.9565484523773193,3.121104805965178e+64,1.4780831515003894e-67,150
TSP_N4_Layers3_MaxIter=150_20260724_153621,TSP,20260724_153621,42,4,1,3,150,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.552436828613281e-05,24.05,CV-VQE,1.63320719106771e-08,"[1, 0, 3, 2]",1.3782365322113037,1472562705.548541,4.570299737315532e-12,150
TSP_N4_Layers4_MaxIter=150_20260724_153705,TSP,20260724_153705,42,4,1,4,150,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.981590270996094e-05,24.05,CV-VQE,0.00017572950871351986,"[3, 4, 0, 0]",1.7621190547943115,136858.06200714485,2.7571243364751426e-08,150
TSP_N4_Layers5_MaxIter=150_20260724_153749,TSP,20260724_153749,42,4,1,5,150,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.6716461181640625e-05,24.05,CV-VQE,7.49835739211829e-06,"[1, 0, 0, 3]",2.1484384536743164,3207369.12664093,1.2760089810557379e-09,150
TSP_N4_Layers1_MaxIter=175_20260724_153832,TSP,20260724_153832,42,4,1,1,175,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.528594970703125e-05,24.05,CV-VQE,3.575597776370407e-246,"[3, 4, 2, 1]",0.6113972663879395,6.726148046890548e+246,2.3638709751656017e-249,175
TSP_N4_Layers2_MaxIter=175_20260724_153921,TSP,20260724_153921,42,4,1,2,175,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.600120544433594e-05,24.05,CV-VQE,1.785956737580134e-93,"[4, 2, 4, 3]",1.1113176345825195,1.3466171656871338e+94,3.2221938836691975e-97,175
TSP_N4_Layers3_MaxIter=175_20260724_154012,TSP,20260724_154012,42,4,1,3,175,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.600120544433594e-05,24.05,CV-VQE,8.748213042496571e-14,"[3, 2, 0, 1]",1.6076323986053467,274913286669760.78,1.1987914417846048e-17,175
TSP_N4_Layers4_MaxIter=175_20260724_154103,TSP,20260724_154103,42,4,1,4,175,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.506111145019531e-05,24.05,CV-VQE,1.4045658088154108e-06,"[1, 0, 0, 2]",2.1682872772216797,17122729.208596785,1.4614001773105626e-10,175
TSP_N4_Layers5_MaxIter=175_20260724_154154,TSP,20260724_154154,42,4,1,5,175,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.743171691894531e-05,24.05,CV-VQE,6.46067542923742e-08,"[3, 1, 1, 1]",2.524822473526001,372252100.6265551,5.329784777102939e-12,175
TSP_N4_Layers1_MaxIter=200_20260724_154243,TSP,20260724_154243,42,4,1,1,200,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.6716461181640625e-05,24.05,CV-VQE,1.0171604848342716e-258,"[4, 4, 2, 1]",0.6936700344085693,2.364425315236123e+259,7.69272409771923e-262,200
TSP_N4_Layers2_MaxIter=200_20260724_154338,TSP,20260724_154338,42,4,1,2,200,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",3.62396240234375e-05,24.05,CV-VQE,5.757546289990027e-137,"[4, 3, 4, 4]",1.2458200454711914,4.177126641919132e+137,2.907759129145116e-140,200
TSP_N4_Layers3_MaxIter=200_20260724_154432,TSP,20260724_154432,42,4,1,3,200,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.649162292480469e-05,24.05,CV-VQE,1.7309694079459558e-16,"[4, 2, 3, 2]",1.8021819591522217,1.389394861029854e+17,2.874959053450158e-20,200
TSP_N4_Layers4_MaxIter=200_20260724_154528,TSP,20260724_154528,42,4,1,4,200,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.76837158203125e-05,24.05,CV-VQE,3.4626672781500084e-09,"[1, 1, 0, 2]",3.411907911300659,6945512828.148231,4.172461634685445e-13,200
TSP_N4_Layers5_MaxIter=200_20260724_154626,TSP,20260724_154626,42,4,1,5,200,1.0,50.0,24.05,"[0, 1, 2, 3, 0]",4.887580871582031e-05,24.05,CV-VQE,5.826665940476116e-11,"[0, 0, 0, 1]",4.842341184616089,412757488513.8309,1.3619193663727658e-14,200
TSP_N5_Layers1_MaxIter=25_20260724_154725,TSP,20260724_154725,42,5,1,1,25,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.918212890625e-05,21.919999999999998,CV-VQE,0.07700967534778226,"[0, 4, 1, 0, 0]",3.934349536895752,284.6395586139976,9.461997275915477e-06,25
TSP_N5_Layers2_MaxIter=25_20260724_155052,TSP,20260724_155052,42,5,1,2,25,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",7.605552673339844e-05,21.919999999999998,CV-VQE,186.62799583848718,"[1, 1, 0, 0, 0]",1.7721540927886963,0.11745290357707183,0.09261953327234286,25
TSP_N5_Layers3_MaxIter=25_20260724_155419,TSP,20260724_155419,42,5,1,3,25,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",8.034706115722656e-05,21.919999999999998,CV-VQE,141.2909161516401,"[3, 1, 0, 0, 0]",2.484499931335449,0.15514090075312711,0.028577316751086337,25
TSP_N5_Layers4_MaxIter=25_20260724_155747,TSP,20260724_155747,42,5,1,4,25,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.083747863769531e-05,21.919999999999998,CV-VQE,185.19305989990352,"[1, 1, 0, 0, 0]",4.208067893981934,0.11836296679717757,0.08506205878691736,25
TSP_N5_Layers5_MaxIter=25_20260724_160115,TSP,20260724_160115,42,5,1,5,25,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",8.344650268554688e-05,21.919999999999998,CV-VQE,183.67606587682508,"[1, 1, 0, 0, 0]",4.874424695968628,0.11934053517184846,0.08144963511063352,25
TSP_N5_Layers1_MaxIter=50_20260724_160441,TSP,20260724_160441,42,5,1,1,50,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",8.893013000488281e-05,21.919999999999998,CV-VQE,4.920222116114375e-12,"[5, 5, 0, 0, 0]",2.8587512969970703,4455083425646.398,6.833383506485147e-15,50
TSP_N5_Layers2_MaxIter=50_20260724_161118,TSP,20260724_161118,42,5,1,2,50,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",7.724761962890625e-05,21.919999999999998,CV-VQE,0.005350810627453024,"[2, 4, 0, 2, 1]",5.333976984024048,4096.575552036286,9.616289407940701e-08,50
TSP_N5_Layers3_MaxIter=50_20260724_161804,TSP,20260724_161804,42,5,1,3,50,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",0.00010347366333007812,21.919999999999998,CV-VQE,15.586649967942707,"[4, 1, 0, 0, 0]",5.09452748298645,1.4063317034181935,0.0061132353849645245,50
TSP_N5_Layers4_MaxIter=50_20260724_162444,TSP,20260724_162444,42,5,1,4,50,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",7.557868957519531e-05,21.919999999999998,CV-VQE,105.58709773495379,"[4, 2, 0, 0, 0]",6.664912700653076,0.20760112239303982,0.02497106347026064,50
TSP_N5_Layers5_MaxIter=50_20260724_163124,TSP,20260724_163124,42,5,1,5,50,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.560585021972656e-05,21.919999999999998,CV-VQE,105.77679507188773,"[4, 2, 0, 0, 0]",8.353940486907959,0.20722881597143106,0.02210887835647902,50
TSP_N5_Layers1_MaxIter=75_20260724_163800,TSP,20260724_163800,42,5,1,1,75,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.655952453613281e-05,21.919999999999998,CV-VQE,1.0490157722719899e-32,"[5, 5, 0, 0, 0]",2.4614055156707764,2.089577733662193e+33,1.914654135127351e-35,75
TSP_N5_Layers2_MaxIter=75_20260724_164807,TSP,20260724_164807,42,5,1,2,75,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",8.869171142578125e-05,21.919999999999998,CV-VQE,5.770065095472295e-07,"[1, 5, 0, 2, 3]",7.075249910354614,37989172.80361425,1.3417745012490997e-11,75
TSP_N5_Layers3_MaxIter=75_20260724_165756,TSP,20260724_165756,42,5,1,3,75,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.369850158691406e-05,21.919999999999998,CV-VQE,1.3353551344156118,"[2, 3, 0, 0, 0]",6.588016510009766,16.41510893624024,0.0001690977747535303,75
TSP_N5_Layers4_MaxIter=75_20260724_170748,TSP,20260724_170748,42,5,1,4,75,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",8.821487426757812e-05,21.919999999999998,CV-VQE,8.24253225880008,"[5, 3, 1, 1, 0]",11.153297424316406,2.6593769137630328,0.0006074182502676627,75
TSP_N5_Layers5_MaxIter=75_20260724_171802,TSP,20260724_171802,42,5,1,5,75,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.083747863769531e-05,21.919999999999998,CV-VQE,7.77896347620883,"[5, 3, 1, 0, 0]",10.611830472946167,2.8178561407364997,0.0007612983237744523,75
TSP_N5_Layers1_MaxIter=100_20260724_172747,TSP,20260724_172747,42,5,1,1,100,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.036064147949219e-05,21.919999999999998,CV-VQE,8.706758285630889e-77,"[4, 4, 0, 1, 0]",5.438549518585205,2.517584533864395e+77,2.3331627263060344e-80,100
TSP_N5_Layers2_MaxIter=100_20260724_174034,TSP,20260724_174034,42,5,1,2,100,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",7.653236389160156e-05,21.919999999999998,CV-VQE,3.4474979049047207e-16,"[5, 4, 0, 1, 3]",5.947448968887329,6.358234465875856e+16,5.647273840794035e-21,100
TSP_N5_Layers3_MaxIter=100_20260724_175339,TSP,20260724_175339,42,5,1,3,100,1.0,50.0,21.919999999999998,"[0, 2, 4, 1, 3, 0]",9.512901306152344e-05,21.919999999999998,CV-VQE,0.6269816114566158,"[0, 5, 1, 0, 0]",8.677851438522339,34.961152926120164,0.00019666938162665227,100
